make,model,price,city,state,year,mileage,transmission,color,previous_ownership,url
Lexus,LX,31500000.0,Mombasa,Mombasa CBD,2022.0,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2022-white-oHcBGR6r9HRWjxpXhDpSKfVt.html?page=6&pos=11&cur_pos=11&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=110
Lexus,LX,31500000.0,Mombasa,Mombasa CBD,2022.0,37000.0,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2022-pearl-nnm0Tlwp0l2ESRVkCaXUxnJB.html?page=6&pos=14&cur_pos=14&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=113
Lexus,LX,31000000.0,Mombasa,Mombasa CBD,2022.0,,AMT,White,Brand New,https://jiji.co.ke/mombasa-cbd/cars/new-lexus-lx-2022-white-PIoad9vITaj2pRkRWqnmKx1.html?page=6&pos=19&cur_pos=19&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=118
Lexus,LX,31000000.0,Mombasa,Mombasa CBD,2023.0,12900.0,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-black-33nGTnakWCRobkBMx57Qfiwk.html?page=7&pos=2&cur_pos=2&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=121
Mercedes-Benz,G-Class,31000000.0,Mombasa,Mombasa CBD,2020.0,22090.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-g-63-amg-4matic-2020-white-aTA1ZhWbJWdfdFfMU368an9y.html?page=7&pos=3&cur_pos=3&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=122
Lexus,LX,30400000.0,Nairobi,Runda,2022.0,8000.0,Automatic,Gray,Foreign Used,https://jiji.co.ke/karura/cars/lexus-lx-2022-gray-hZnVTxwi4iJWT6NWBwimS9Gw.html?page=7&pos=6&cur_pos=6&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=125
Lexus,LX,30000000.0,Mombasa,Mombasa CBD,2020.0,,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2020-gray-doHP1ToSChSI8cvqm2S0Alxe.html?page=7&pos=9&cur_pos=9&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=128
Lexus,LX,30000000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-white-rivBFxNJnkpUeix4cwvxvaI2.html?page=7&pos=13&cur_pos=13&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=132
Lexus,LX,30000000.0,Mombasa,Mombasa CBD,2023.0,23232.0,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-black-8a77I4kno3XP7UbrK0piUJKj.html?page=7&pos=15&cur_pos=15&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=134
Mercedes-Benz,G-Class,30000000.0,Mombasa,Mombasa CBD,2019.0,,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-2019-white-7DP5ApBtj9xCWzjZfc69PKp4.html?page=7&pos=20&cur_pos=20&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=139
Mercedes-Benz,G-Class,30000000.0,Mombasa,Mombasa CBD,2020.0,68000.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-g-63-amg-4matic-2020-white-uRW7UmzpWcXV6JarEL72tdiT.html?page=8&pos=2&cur_pos=2&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=141
Lexus,LX,29999999.0,Nairobi,Runda,2023.0,,Automatic,White,Brand New,https://jiji.co.ke/karura/cars/new-lexus-lx-2023-white-iP3oyaWLKAzv5ra2CQosiJjg.html?page=8&pos=5&cur_pos=5&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=144
Lexus,LX,29900000.0,Mombasa,Mombasa CBD,2024.0,,Automatic,Off white,Brand New,https://jiji.co.ke/mombasa-cbd/cars/new-lexus-lx-2024-off-white-uwPZFnhVitfqAs0ZweHUfjKs.html?page=8&pos=8&cur_pos=8&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=147
Lexus,LX,29800000.0,Mombasa,Mombasa CBD,2022.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2022-black-7DL7SU1PgNeF1dvjdXkAO5tG.html?page=8&pos=11&cur_pos=11&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=150
Lexus,LX,29500000.0,Nairobi,Kilimani,2022.0,7000.0,Automatic,Pearl,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-lx-2022-pearl-BlW101wqht0dBTXP5YaLoKIp.html?page=8&pos=14&cur_pos=14&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=153
Lexus,LX,29500000.0,Nairobi,Kilimani,2023.0,,Automatic,White,Brand New,https://jiji.co.ke/kilimani/cars/new-lexus-lx-2023-white-i1EJjJzxCaXRUtfIgvRFnsaN.html?page=8&pos=17&cur_pos=17&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=156
Land Rover,Range Rover Vogue,29500000.0,Nairobi,Ridgeways,2022.0,8700.0,Automatic,Silver,Foreign Used,https://jiji.co.ke/ridgeways/cars/land-rover-range-rover-vogue-2022-silver-krjyRNd5J3ZuFjsq4ze2d8va.html?page=8&pos=20&cur_pos=20&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=159
Lexus,LX,29499999.0,Nairobi,Kilimani,2021.0,10200.0,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-lx-2021-white-i5pNUsfuVpLaghD4pWGP7J9e.html?page=9&pos=3&cur_pos=3&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=162
Lexus,LX,29000000.0,Mombasa,Mombasa CBD,2023.0,900.0,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-black-qiDXz4DdQ0kBkBBjNFCdphOW.html?page=9&pos=6&cur_pos=6&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=165
Lexus,LX,29000000.0,Mombasa,Ganjoni,2024.0,24535.0,Automatic,White,Foreign Used,https://jiji.co.ke/ganjoni/cars/lexus-lx-2024-white-bklzJpmP56mxsidLR5RpcuOn.html?page=9&pos=9&cur_pos=9&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=168
Lexus,LX,29000000.0,Mombasa,Mombasa CBD,2023.0,23232.0,Automatic,Gray,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-gray-7pIRiMo9SDt9qhyUFUAiZ0BU.html?page=9&pos=12&cur_pos=12&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=171
Lexus,LX,28800000.0,Nairobi,Kilimani,2022.0,16500.0,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-lx-2022-black-nAd9pWkMsLiu4lTYtsYIPObn.html?page=9&pos=15&cur_pos=15&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=174
Lexus,LX,28000000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Other,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-nb2s3XsvCqoH1VNb0HkhMnZF.html?page=9&pos=18&cur_pos=18&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=177
Lexus,LX,28000000.0,Mombasa,Mombasa CBD,2023.0,3500.0,Automatic,Green,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-green-wEAYoNK8NPR5UAlz84leMItp.html?page=10&pos=1&cur_pos=1&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=180
Lexus,LX,28000000.0,Mombasa,Tudor,2024.0,,Automatic,Green,Brand New,https://jiji.co.ke/tudor/cars/new-lexus-lx-2024-green-p0UmKs62b7JbGDnNTNmQkVEI.html?page=10&pos=4&cur_pos=4&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=183
Lexus,LX,28000000.0,Nairobi,Nairobi Central,2022.0,7000.0,Automatic,Pearl,Foreign Used,https://jiji.co.ke/nairobi-central/cars/lexus-lx-2022-pearl-cY11WFqokoeVv0ijtM8tl6pA.html?page=10&pos=7&cur_pos=7&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=186
